tagId,tag
1,007
2,007 (series)
3,18th century
4,1920s
5,1930s
6,1950s
7,1960s
8,1970s
9,1980s
10,19th century
11,3d
12,70mm
13,80s
14,9/11
15,aardman
16,aardman studios
17,abortion
18,absurd
19,action
20,action packed
21,adaptation
22,adapted from:book
23,adapted from:comic
24,adapted from:game
25,addiction
26,adolescence
27,adoption
28,adultery
29,adventure
30,affectionate
31,afi 100
32,afi 100 (laughs)
33,afi 100 (movie quotes)
34,africa
35,afterlife
36,aging
37,aids
38,airplane
39,airport
40,alaska
41,alcatraz
42,alcoholism
43,alien
44,alien invasion
45,aliens
46,allegory
47,almodovar
48,alone in the world
49,alter ego
50,alternate endings
51,alternate history
52,alternate reality
53,alternate universe
54,amazing cinematography
55,amazing photography
56,american civil war
57,amnesia
58,amy smart
59,android(s)/cyborg(s)
60,androids
61,animal movie
62,animals
63,animated
64,animation
65,anime
66,antarctica
67,anti-hero
68,anti-semitism
69,anti-war
70,apocalypse
71,archaeology
72,argentina
73,arms dealer
74,arnold
75,art
76,art house
77,artificial intelligence
78,artist
79,artistic
80,artsy
81,assassin
82,assassination
83,assassins
84,astronauts
85,atheism
86,atmospheric
87,australia
88,australian
89,author:alan moore
90,author:neil gaiman
91,autism
92,aviation
93,awesome
94,awesome soundtrack
95,awful
96,bad
97,bad acting
98,bad cgi
99,bad ending
100,bad plot
